Volume,Inks
2.96382227527e-05,"['Lamy crystal beryl0.3172305520.38562575', 'C photon0.192959860.211927474', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292']"
2.96313341349e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Mg sapphire0.1194242240.106027357', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292']"
2.96265580086e-05,"['Mg sapphire0.1194242240.106027357', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292', 'Platinum violet0.3862266540.463573724']"
2.96110354262e-05,"['Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Rose cyclamen H0.3078682120.344650418', 'Inkbara cyan0.2017007770.208343148']"
2.95602177598e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'O crystal blue0.3528293070.395045549', 'Kaweco green0.04393515740.0426193513']"
2.95569568287e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Mg turquoise0.2829258440.310881257', 'O cherry blossom0.4046063720.566762865', 'Noodlers Firefly0.09293186660.105642691']"
2.95546757461e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'O cherry blossom0.4046063720.566762865', 'KWZ turquoise 0.1805804220.160459518']"
2.95502296289e-05,"['V karol 0.04918261990.0568519942', 'Mv Caribbean 0.2212766260.22019729', 'Peach haze D0.1002408790.106591292', 'Dragon catfish N0.4158996640.528320014']"
2.95491901331e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Mg turquoise0.2829258440.310881257', 'Noodlers Firefly0.09293186660.105642691', 'Dragon catfish N0.4158996640.528320014']"
2.95481588394e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Bay state blue0.3669657110.552868724']"
2.95394502776e-05,"['V karol 0.04918261990.0568519942', 'R torquay0.2532790010.285446346', 'Peach haze D0.1002408790.106591292', 'Platinum Violet20.3747718040.517571867']"
2.95025696796e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'Robert Oster Australian Opal Blue0.3514576850.404214472', 'Kaweco green0.04393515740.0426193513']"
2.95025417114e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Mv Caribbean 0.2212766260.22019729', 'Noodlers Firefly0.09293186660.105642691', 'Dragon catfish N0.4158996640.528320014']"
2.94997191321e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Mg sapphire0.1194242240.106027357', 'H Bleu Azur0.5106806760.636918247']"
2.94943786356e-05,"['Lamy crystal beryl0.3172305520.38562575', 'FWP blue cotton candy0.4129520650.567712903', 'KWZ turquoise 0.1805804220.160459518', 'Peach haze D0.1002408790.106591292']"
2.94918181424e-05,"['Lamy red0.3185556230.394874483', 'KWZ turquoise 0.1805804220.160459518', 'H Bleu Azur0.5106806760.636918247', 'Rose cyclamen H0.3078682120.344650418']"
